Question,A,B,C,D,Answer,Qtype
"
", What is the run time of finding the nearest neighbour in a k-d tree?,"
 O(2+ log N)","
 O( log N)","
 O(2", c,DS
"
 O( N log N)","
", How many prime concepts are available in nearest neighbour search in a kd tree?,"
 1","
 2", c,DS
"
 4","
",1 Reducing search space by eliminating irrelevant trees is known as?,"
 pruning","
 partial results", a,DS
"
 traversing","
",1 Several kinds of queries are possible on a k-d called as?,"
 partial queries","
 range queries", b,DS
"
 search queries","
",1 What is the time taken for a range query for a perfectly balanced tree?,"
 O(N)","
 O(log N)", c,DS
"
 O(√N)","
",1 The 2d search tree has the simple property that branching on odd levels is done with respect to the first key.,"
 True","
 False", a,DS
1 Who invented k-d trees?,"
 Arne Andersson","
 Jon Bentley","
 Jon Von Newmann","
 Rudolf Bayer", b,DS
 The leaves of an expression tree always contain?,"
 operators","
 operands","
 null","
 expression", b,DS
 A node can have a minimum of one child.,"
 true","
 false","
", What does the other nodes of an expression tree(except leaves) contain?, a,DS
"
 only operators","
 both operands and operators","
 expression","
", An expression tree is a kind of?, b,DS
"
 Fibonacci tree","
 Binary tree","
 Treap","
"," The expression obtained by recursively producing a left expression, followed by an operator, followed by recursively producing a right expression is called?", c,DS
"
 infix expression","
 postfix expression","
 paranthesized expression","
", The average depth of a binary tree is given as?, b,DS
"
 O(log N)","
 O(M log N)","
 O(√N)","
", Only infix expression can be made into an expression tree., d,DS
"
 false","
", An expression tree is created using?,"
 postfix expression","
 prefix expression", b,DS
"
 paranthesized expression","
", ++a*bc*+defg is an?,"
 postfix expression","
 infix expression", a,DS
"
 invalid expression","
", An expression tree’s nodes can be deleted by calling?,"
 malloc","
 calloc", c,DS
"
 free","
",1 What is the postfix expression for the following expression tree?,"
 ","
 abcde++**", d,DS
"
 abc+de+**","
 abcd+*e+*","
","1 In an expression tree algorithm, what happens when an operand is encountered?","
 create one node pointing to a stack", b,DS
" In a max-heap, element with the greatest key is always in the which node?","
 Leaf node","
 First node of left sub tree","
 root node","
 First node of right sub tree", c,DS
 Heap exhibits the property of a binary tree?,"
 True","
 False","
", What is the complexity of adding an element to the heap., a,DS
"
 O(h)","
 O(log n) & O(h)","
 O(n)","
", The worst case complexity of deleting any arbitrary node value element from heap is __________, c,DS
"
 O(n)","
 O(nlogn)","
 O(n",),"
", a,DS
"
 Priority queue","
 Stack","
 A decreasing order array","
 Normal Array","
", a,DS
"
If we implement heap as min-heap, deleting root node (value 1)from the heap. What would be the value of root node after second iteration if leaf node (value 100)  is chosen to replace the root at start.","
	2","
	100","
	17","
	3", a,DS
7,"
If we implement heap as maximum heap , adding a new node of value 15 to the  left most node of right subtree . What value will be at  leaf nodes of the right subtree of the heap.","
 15 and 1","
 25 and 1","
 3 and 1",  a,DS
"
", An array consists of n elements. We want to create a heap using the elements. The time complexity of building a heap will be in order of,"
 O(n*n*logn)","
 O(n*logn)","
 O(n*n)", b,DS
 What is the space complexity of searching in a heap?,"
 O(logn)","
 O(n)","
 O(1)","
 O(nlogn)", b,DS
 What is the best case complexity in building a heap?,"
 O(nlogn)","
 O(n",),"
 O(n*longn *logn)", d,DS
"
"," Given the code, choose the correct option that is consistent with the code. (Here A is the heap)", It is the build function of max heap,"
 It is the build function of min heap","
 It is general build function of any heap", a,DS
"
", What is the location of a parent node for any arbitary node i?,"
 (i/2) position","
 (i+1)/ position","
 floor(i/2) position", c,DS
"
", State the complexity of algorithm given below., o(n),"
 O(logn)","
 O(1)", c,DS
"
"," Given an array of element 5, 7, 9, 1, 3, 10, 8,  Which of the following is the correct sequences of elements after inserting all the elements in a min-heap?","
 1,3,4,5,7,8,9,10","
 1,4,3,9,8,5,7,10","
 1,3,4,5,8,7,9,10", a,DS
"
", For construction of a binary heap with property that parent node has value less than child node.In reference to that which line is incorrect. Line indexed from , Line – 3,"
 Line – 5","
 Line – 6", c,DS
 Choose the correct properties of weak-heap.,"
 Every node has value greater than the value of child node","
 Every right child of node has greater value than parent node","
 Every left child of node has greater value than parent node","
 Every left and right child of node has same value as parent node", b,DS
 Left child of parent node has value lesser than the parent node.,"
 True","
 False","
", What is the other name of weak heap?, b,DS
"
 Max-heap","
 Relaxed -heap","
 Leonardo heap","
", What is the worst case time in searching minimum value in weak -heap?, c,DS
"
 O(n)","
 O(n logn)","
 O(1)","
", The total comparisons in finding both smallest and largest elements are, d,DS
"
 n + ((n+1)/2) -2","
 n+logn","
 n","
", What is the complexity of given function of insertion., b,DS
"
 amortized O(1)","
 O(n)","
 O (n*logn)","
", Does there exist a heap with seven distinct elements so that the Inorder traversal gives the element in sorted order., b,DS
"
 No","
", The  leaf node for a heap of height h will be at which position.,"
 h","
 h-1", b,DS
 The main distinguishable characterstic of a binomial heap from a binary heap is that,"
 it allows union operations very efficiently","
 it does not allow union operations that could easily be implemented in binary heap","
 the heap structure is not similar to complete binary tree","
 the location of child node is not fixed i.e child nodes could be at level (h-2) or (h-3), where h is height of heap and h>4", a,DS
 The number of trees in a binomial heap with n nodes is,"
 logn","
 n","
 nlogn","
 n/2", a,DS
 In a binomial heap the root value is greater than left child and less than right child.,"
 True","
 False","
"," Given the pseudo code, state whether the function for merging of two heap is correct or not?", b,DS
"
 False","
", What is order of resultant heap after merging two tree of order k?,"
 2*k","
 k+1", a,DS
"
 k+logk","
", Time taken in decreasing the node value in a binomial heap is,"
 O(n)","
 O(1)", b,DS
"
 O(nlogn)","
", What does this pseudo_code return ?, Last added element to heap,"
 First element added to heap", c,DS
"
 Leftmost node of the heap","
", Which of these operations have same complexities?,"
 Insertion, find_min","
 Find_min, union", c,DS
"
 Deletion, Find _max","
", The Statement “Fibonacci heap has better amortized running time in compare to a binomial heap”.,"
 True","
 False", c,DS
 Given a heap of n nodes.The maximum number of tree for building the heap is.,"
 n","
 n-1","
 n/2","
 logn", a,DS
1 Choose the option with function having same complexity for a fibonacci heap.,"
 Insertion, Union","
 Insertion, Deletion","
 extract_min, insertion","
 Union, delete", a,DS
1 What is wrong with the following code of insertion in fibonacci heap.,"
Choose the correct option", Line -11,"
 Line -3","
 Line 9", a,DS
"
",1 What will be the order of new heap created after union of heap H1 and H2 when created by the following code.Initially both are of the order n., n+1,"
 n+n/2","
 nlogn", c,DS
 d-heap is similar to that of a?,"
 binary heap","
 fibonacci heap","
 leftist heap","
 treap", a,DS
 d-heap is shallower than a binary heap.,"
 true","
 false","
", Which operation cannot be directly performed in a d-heap?, a,DS
"
 delete","
 find","
 create","
", Which operation is not efficiently performed in a d-heap?, c,DS
"
 delete","
 find","
 merge","
", What is the run time efficiency of an insertion algorithm in d-heap?, d,DS
"
 O(log N)","
 O(log", N),"
 O(N",), c,DS
 How many comparisons will occur while performing a delete-min operation?,"
 d","
 d-1","
 d+1","
 1", b,DS
 How many basic operations can be performed in a d-heap?,"
 1","
 2","
 3","
 4", b,DS
 What is the run time efficiency of delete-min operation?,"
 O(log N)","
 O(log", N),"
 O(d log", c,DS
"
 O(","
", The following figure is an example for,"
","
 d-heap", a,DS
"
 leftist heap","
 skew heap","
", Multiplication and division to find children and parents cannot be implemented in a d-heap.,"
 true", b,DS
"
",1 How many secondary operations are performed in a d-heap?,"
 1","
 2","
 3", d,DS
"
",1 On which data structure is a d-ary heap based?,"
 stack","
 queue","
 linked list", d,DS
 What is the smallest element of the given minimum ternary heap?,"
","
 1","
 10","
 18", a,DS
"
", What is the highest element of the given maximum ternary heap?,"
 ","
 31","
 10", a,DS
"
 20","
", What is the child of smallest element of the given minimum ternary heap?,"
","
 1", b,DS
"
 22","
 24","
", What are the siblings of smallest element of the given maximum ternary heap?,"
  ", c,DS
"
 12","
 18","
 22","
", What is the height of a given minimum ternary heap?, a,DS
"
 1","
 10","
 2","
 24","
", a,DS
"
","
 1","
 10","
 18","
 20", d,DS
 Which property should ternary heap hold for execution?,"
 Associative","
 Commutative","
 Tree","
 Heap", a,DS
 Should leaves in ternary heap be distributed from left to right.,"
 True","
 False","
", What is the process of building a ternary heap called?, a,DS
"
 Hashing","
 Linking","
 Merging","
", Which type of data structure is a ternary heap?, c,DS
"
 Hash","
 Priority Queue","
 Priority Stack","
",1 Is the priority queue abstract data type., a,DS
"
 False","
",1 What is a ternary heap?,"
 An array with three elements","
 Linked list with three elements", d,DS
"
 Heap with all nodes having three children","
",1 Who invented d-ary heap?,"
 Carl Rick","
 Alan Turing", c,DS
 What is the time complexity for inserting a new item in a ternary heap of n elements?,"
 O (log n/ log 3)","
 O (n!)","
 O (n)","
 O (1)", a,DS
 Is decrease priority operation performed more quickly in a ternary heap with respect to the binary heap.,"
 True","
 False","
", What is the time complexity for decreasing priority of key in a minimum ternary heap of n elements?, a,DS
"
 O (n!)","
 O (n)","
 O (1)","
", What is the time complexity for increasing priority of key in a maximum ternary heap of n elements?, a,DS
"
 O (n!)","
 O (n)","
 O (1)","
", What is the time complexity for deleting root key in a ternary heap of n elements?, a,DS
"
 O (3log n/ log 3)","
 O (n)","
 O (1)","
", What is the time complexity for increasing priority of key in a minimum ternary heap of n elements?, b,DS
